ROWID,State,City,Year,Population,ViolentCrime,MurderAndNonEgligentManslaughter,ForcibleRape,Robbery,AggravatedAssault,PropertyCrime,Burglary,LarcenyTheft,MotorVehicleTheft,Arson,Year_id,City_id,State_id
128131,Mississippi,Amory,2006,7388,8,0,1,3,4,311,59,242,10,2,1,3195,26
128132,Mississippi,Batesville,2006,7680,16,1,0,11,4,429,67,335,27,0,1,3196,26
128133,Mississippi,Bay St. Louis,2006,8287,22,0,4,11,7,450,103,319,28,2,1,3197,26
128134,Mississippi,Belzoni,2006,2532,0,0,0,0,0,0,0,0,0,0,1,6877,26
128135,Mississippi,Booneville,2006,8554,9,0,0,4,5,193,60,132,1,0,1,274,26
128136,Mississippi,Brandon,2006,19320,5,0,2,1,2,200,38,146,16,4,1,3198,26
128137,Mississippi,Brookhaven,2006,9871,18,2,0,7,9,270,29,231,10,0,1,3199,26
128138,Mississippi,Bruce,2006,2025,1,0,0,0,1,0,0,0,0,0,1,6878,26
128139,Mississippi,Byhalia,2006,713,6,0,0,2,4,89,22,52,15,0,1,3200,26
128140,Mississippi,Canton,2006,12462,59,1,11,15,32,417,226,183,8,0,1,1047,26
128141,Mississippi,Charleston,2006,2047,23,0,1,3,19,93,31,60,2,2,1,287,26
128142,Mississippi,Cleveland,2006,12772,28,1,0,6,21,746,112,617,17,1,1,1456,26
128143,Mississippi,Collins,2006,2751,12,1,0,9,2,149,37,101,11,0,1,3202,26
128144,Mississippi,Columbia,2006,6385,8,1,5,2,0,1,0,0,1,0,1,1940,26
128145,Mississippi,Columbus,2006,24337,61,4,4,30,23,1061,179,841,41,2,1,1459,26
128146,Mississippi,Corinth,2006,14205,64,1,11,23,29,1011,246,740,25,1,1,5815,26
128147,Mississippi,Edwards,2006,1300,6,0,0,0,6,10,2,8,0,0,1,3203,26
128148,Mississippi,Fulton,2006,4087,2,0,1,0,1,79,15,61,3,1,1,1958,26
128149,Mississippi,Gloster,2006,1056,10,0,0,2,8,8,7,1,0,0,1,3206,26
128150,Mississippi,Greenville,2006,38584,206,5,16,70,115,2377,928,1338,111,74,1,122,26
128151,Mississippi,Greenwood,2006,17281,118,5,5,43,65,1038,339,611,88,0,1,325,26
128152,Mississippi,Grenada,2006,14516,90,3,5,29,53,634,165,426,43,0,1,3207,26
128153,Mississippi,Gulfport,2006,72202,280,12,25,150,93,5216,1430,3372,414,26,1,1231,26
128154,Mississippi,Hattiesburg,2006,47006,226,10,18,125,73,2777,816,1694,267,20,1,3208,26
128155,Mississippi,Heidelberg,2006,807,1,1,0,0,0,25,3,15,7,0,1,3209,26
128156,Mississippi,Holly Springs,2006,7985,68,1,3,17,47,252,47,166,39,1,1,1504,26
128157,Mississippi,Horn Lake,2006,22071,34,0,1,21,12,1175,169,905,101,1,1,3211,26
128158,Mississippi,Indianola,2006,11280,86,0,16,14,56,618,188,409,21,6,1,1628,26
128159,Mississippi,Iuka,2006,2976,13,0,2,1,10,77,22,49,6,0,1,3212,26
128160,Mississippi,Jackson,2006,177334,1736,40,160,1022,514,13208,3817,7534,1857,65,1,662,26
128161,Mississippi,Kosciusko,2006,7308,21,1,1,7,12,226,106,120,0,0,1,3213,26
128162,Mississippi,Laurel,2006,18232,183,4,19,121,39,1532,508,962,62,3,1,1131,26
128163,Mississippi,Leakesville,2006,1003,0,0,0,0,0,0,0,0,0,0,1,3214,26
128164,Mississippi,Leland,2006,5138,23,1,0,3,19,203,72,129,2,1,1,3215,26
128165,Mississippi,Lexington,2006,1934,9,1,0,1,7,17,10,7,0,0,1,154,26
128166,Mississippi,Long Beach,2006,17221,7,1,0,3,3,315,28,271,16,0,1,695,26
128167,Mississippi,Louisville,2006,6772,8,0,0,2,6,114,58,56,0,0,1,160,26
128168,Mississippi,Lucedale,2006,2880,7,2,0,1,4,91,19,72,0,0,1,3216,26
128169,Mississippi,Madison,2006,16677,7,0,1,4,2,211,10,195,6,0,1,1068,26
128170,Mississippi,Magee,2006,4278,5,1,1,2,1,115,27,76,12,0,1,3217,26
128171,Mississippi,Magnolia,2006,2071,3,0,0,0,3,42,17,21,4,0,1,354,26
128172,Mississippi,McComb,2006,13196,50,0,2,28,20,844,178,611,55,0,1,3218,26
128173,Mississippi,Meridian,2006,38466,201,2,34,70,95,1910,776,1017,117,12,1,1699,26
128174,Mississippi,Morton,2006,3429,5,0,0,4,1,43,26,11,6,1,1,3219,26
128175,Mississippi,Moss Point,2006,15070,105,5,12,48,40,1350,491,624,235,3,1,3220,26
128176,Mississippi,Natchez,2006,16905,47,2,8,12,25,938,173,755,10,0,1,3221,26
128177,Mississippi,New Albany,2006,7980,34,0,1,5,28,59,24,28,7,3,1,1791,26
128178,Mississippi,Newton,2006,3687,13,1,2,2,8,79,39,36,4,0,1,180,26
128179,Mississippi,Olive Branch,2006,27863,96,1,17,31,47,2025,342,1560,123,4,1,3222,26
128180,Mississippi,Oxford,2006,13569,35,0,3,4,28,399,85,290,24,0,1,190,26
128181,Mississippi,Pascagoula,2006,25082,116,2,26,74,14,2236,798,1113,325,1,1,3223,26
128182,Mississippi,Pass Christian,2006,6826,14,0,1,4,9,252,70,168,14,2,1,3224,26
128183,Mississippi,Pearl,2006,23028,102,0,45,19,38,864,247,544,73,3,1,3225,26
128184,Mississippi,Pelahatchie,2006,1485,0,0,0,0,0,0,0,0,0,0,1,6879,26
128185,Mississippi,Petal,2006,10052,13,0,3,6,4,155,68,75,12,0,1,3226,26
128186,Mississippi,Philadelphia,2006,7590,45,0,7,26,12,355,97,237,21,0,1,5198,26
128187,Mississippi,Picayune,2006,10791,40,0,7,9,24,498,74,384,40,5,1,6880,26
128188,Mississippi,Port Gibson,2006,1759,4,1,2,1,0,22,10,11,1,0,1,3228,26
128189,Mississippi,Richland,2006,7026,21,0,12,1,8,328,103,213,12,0,1,3135,26
128190,Mississippi,Ridgeland,2006,21159,55,1,0,21,33,761,65,655,41,1,1,3230,26
128191,Mississippi,Ripley,2006,5613,11,0,0,0,11,92,32,51,9,0,1,3231,26
128192,Mississippi,Roxie,2006,562,0,0,0,0,0,0,0,0,0,0,1,3232,26
128193,Mississippi,Southaven,2006,38700,93,1,10,39,43,1682,239,1288,155,1,1,6881,26
128194,Mississippi,Starkville,2006,22051,72,0,9,26,37,620,182,420,18,0,1,3234,26
128195,Mississippi,Summit,2006,1597,0,0,0,0,0,82,23,57,2,0,1,3236,26
128196,Mississippi,Tupelo,2006,35544,102,1,21,41,39,1692,332,1247,113,2,1,6882,26
128197,Mississippi,Vicksburg,2006,25659,234,2,32,37,163,1895,445,1344,106,20,1,3237,26
128198,Mississippi,West Point,2006,11540,31,0,4,9,18,408,153,253,2,1,1,1587,26
128199,Mississippi,Winona,2006,4916,7,0,1,4,2,22,9,11,2,0,1,2879,26
128200,Montana,Baker,2006,1644,4,0,0,0,4,18,4,12,2,0,1,2044,27
128201,Montana,Belgrade,2006,7100,12,0,5,0,7,226,21,186,19,7,1,2737,27
128202,Montana,Billings,2006,99667,209,2,28,44,135,4304,465,3518,321,33,1,2904,27
128203,Montana,Boulder,2006,1450,5,0,4,0,1,15,2,13,0,1,1,930,27
128204,Montana,Bozeman,2006,33856,85,0,13,13,59,1476,132,1228,116,22,1,3239,27
128205,Montana,Colstrip,2006,2353,5,0,0,0,5,54,8,45,1,2,1,3241,27
128206,Montana,Columbia Falls,2006,4483,16,0,0,1,15,191,6,178,7,0,1,3242,27
128207,Montana,Columbus,2006,1915,8,0,2,0,6,80,11,68,1,1,1,1459,27
128208,Montana,Cut Bank,2006,3197,34,0,2,0,32,133,15,117,1,0,1,3244,27
128209,Montana,Dillon,2006,4026,8,1,0,0,7,87,5,75,7,0,1,956,27
128210,Montana,East Helena,2006,1866,5,0,1,0,4,35,2,29,4,0,1,3245,27
128211,Montana,Eureka,2006,1038,2,0,0,0,2,77,5,71,1,1,1,602,27
128212,Montana,Fort Benton,2006,1489,6,0,1,0,5,37,8,28,1,1,1,3247,27
128213,Montana,Glasgow,2006,3047,5,0,4,0,1,57,7,45,5,0,1,1959,27
128214,Montana,Glendive,2006,4715,7,0,1,0,6,150,10,137,3,0,1,3248,27
128215,Montana,Great Falls,2006,56878,186,2,11,29,144,2772,224,2424,124,49,1,3249,27
128216,Montana,Hamilton,2006,4486,24,0,3,0,21,243,35,201,7,2,1,128,27
128217,Montana,Havre,2006,9480,51,1,5,1,44,458,37,400,21,1,1,3250,27
128218,Montana,Helena,2006,27645,83,2,12,9,60,1071,127,892,52,14,1,135,27
128219,Montana,Kalispell,2006,18657,61,1,9,1,50,1052,69,912,71,7,1,3251,27
128220,Montana,Laurel,2006,6403,10,0,1,0,9,215,14,192,9,1,1,1131,27
128221,Montana,Lewistown,2006,6157,7,0,1,0,6,93,13,74,6,0,1,3252,27
128222,Montana,Libby,2006,2673,14,0,1,0,13,125,6,114,5,0,1,3253,27
128223,Montana,Livingston,2006,7214,19,0,2,1,16,189,23,150,16,2,1,159,27
128224,Montana,Missoula,2006,63526,186,0,38,30,118,3125,331,2644,150,19,1,3255,27
128225,Montana,Plains,2006,1259,5,0,0,0,5,30,5,23,2,0,1,3256,27
128226,Montana,Polson,2006,4874,28,0,1,2,25,254,19,217,18,0,1,3257,27
128227,Montana,Red Lodge,2006,2424,12,0,3,0,9,66,15,43,8,0,1,3259,27
128228,Montana,Ronan City,2006,1987,15,0,1,1,13,63,12,44,7,0,1,3260,27
128229,Montana,Stevensville,2006,1873,24,0,2,0,22,48,1,44,3,1,1,3261,27
128230,Montana,Thompson Falls,2006,1405,7,0,0,0,7,46,5,38,3,0,1,3263,27
128231,Montana,Whitefish,2006,7135,16,0,0,1,15,243,44,188,11,0,1,6883,27
128232,Nebraska,Alliance,2006,8376,18,0,1,5,12,167,28,133,6,8,1,3437,30
128233,Nebraska,Ashland,2006,2507,0,0,0,0,0,13,1,12,0,0,1,39,30
128234,Nebraska,Auburn,2006,3093,4,0,3,0,1,89,10,74,5,0,1,42,30
128235,Nebraska,Aurora,2006,4305,6,0,0,0,6,67,6,60,1,0,1,924,30
128236,Nebraska,Bayard,2006,1161,1,0,1,0,0,30,10,20,0,0,1,3438,30
128237,Nebraska,Beatrice,2006,12960,45,0,15,1,29,610,118,475,17,8,1,3439,30
128238,Nebraska,Bellevue,2006,47591,67,0,10,20,37,1236,139,989,108,11,1,1672,30
128239,Nebraska,Blair,2006,7807,9,0,6,2,1,152,13,129,10,2,1,3440,30
128240,Nebraska,Bridgeport,2006,1501,2,0,0,0,2,25,6,18,1,0,1,55,30
128241,Nebraska,Broken Bow,2006,3329,3,0,0,0,3,69,10,59,0,0,1,3441,30
128242,Nebraska,Central City,2006,2907,2,0,0,0,2,82,5,72,5,1,1,944,30
128243,Nebraska,Chadron,2006,5349,4,0,0,1,3,55,16,34,5,0,1,3442,30
128244,Nebraska,Columbus,2006,21022,9,0,1,3,5,710,126,544,40,0,1,1459,30
128245,Nebraska,Cozad,2006,4245,3,0,1,0,2,92,12,77,3,0,1,3443,30
128246,Nebraska,Crete,2006,6342,9,0,2,0,7,173,22,146,5,0,1,3444,30
128247,Nebraska,David City,2006,2572,2,0,0,0,2,57,9,47,1,0,1,3445,30
128248,Nebraska,Elkhorn,2006,8236,0,0,0,0,0,88,17,68,3,0,1,6513,30
128249,Nebraska,Emerson,2006,820,0,0,0,0,0,5,1,2,2,0,1,1478,30
128250,Nebraska,Falls City,2006,4241,2,0,0,1,1,96,18,74,4,1,1,3446,30
128251,Nebraska,Fremont,2006,25451,37,2,14,1,20,714,91,592,31,3,1,617,30
128252,Nebraska,Gering,2006,7809,2,0,0,0,2,191,35,152,4,1,1,3447,30
128253,Nebraska,Gothenburg,2006,3712,1,0,0,0,1,58,13,44,1,0,1,3448,30
128254,Nebraska,Grand Island,2006,44788,99,1,4,15,79,2459,411,1939,109,5,1,3449,30
128255,Nebraska,Hastings,2006,25575,48,0,13,6,29,972,183,775,14,10,1,2570,30
128256,Nebraska,Holdrege,2006,5378,9,0,6,0,3,147,18,122,7,1,1,3450,30
128257,Nebraska,Imperial,2006,1886,4,0,0,0,4,10,4,6,0,0,1,652,30
128258,Nebraska,Kearney,2006,29115,56,0,22,3,31,924,142,745,37,5,1,3025,30
128259,Nebraska,La Vista,2006,15777,16,0,5,2,9,372,34,323,15,3,1,3451,30
128260,Nebraska,Lexington,2006,10140,23,0,12,2,9,410,86,313,11,1,1,154,30
128261,Nebraska,Lincoln,2006,240511,1256,5,100,162,989,12237,1922,9884,431,4,1,349,30
128262,Nebraska,Lyons,2006,917,4,0,0,0,4,18,1,17,0,0,1,3452,30
128263,Nebraska,McCook,2006,7722,12,0,4,0,8,143,22,116,5,2,1,6884,30
128264,Nebraska,Minden,2006,2929,0,0,0,0,0,72,6,66,0,2,1,3453,30
128265,Nebraska,Mitchell,2006,1806,0,0,0,0,0,25,0,25,0,1,1,3454,30
128266,Nebraska,Nebraska City,2006,7073,8,0,1,2,5,237,31,193,13,1,1,3455,30
128267,Nebraska,Norfolk,2006,24076,23,0,15,2,6,785,98,655,32,0,1,2221,30
128268,Nebraska,Ogallala,2006,4721,6,0,1,1,4,196,16,173,7,0,1,3456,30
128269,Nebraska,Omaha,2006,416770,2505,33,187,848,1437,21787,3172,15172,3443,0,1,3457,30
128270,Nebraska,O'Neill,2006,3502,3,0,1,0,2,44,7,33,4,1,1,3458,30
128271,Nebraska,Papillion,2006,20542,10,1,5,0,4,303,27,261,15,3,1,3459,30
128272,Nebraska,Plainview,2006,1286,0,0,0,0,0,5,2,3,0,0,1,3460,30
128273,Nebraska,Plattsmouth,2006,7061,7,0,3,0,4,169,19,139,11,0,1,3461,30
128274,Nebraska,Ralston,2006,6227,10,0,0,4,6,187,17,156,14,3,1,3462,30
128275,Nebraska,Scottsbluff,2006,14894,45,0,16,8,21,983,126,823,34,2,1,3463,30
128276,Nebraska,Seward,2006,6813,2,0,2,0,0,105,9,90,6,1,1,19,30
128277,Nebraska,Sidney,2006,6477,14,0,4,1,9,214,22,185,7,0,1,3464,30
128278,Nebraska,St. Paul,2006,2280,2,0,0,0,2,15,2,10,3,0,1,23,30
128279,Nebraska,Superior,2006,1913,1,0,1,0,0,7,1,6,0,0,1,3466,30
128280,Nebraska,Syracuse,2006,1845,0,0,0,0,0,22,4,18,0,0,1,4301,30
128281,Nebraska,Valley,2006,1839,3,0,1,0,2,64,6,57,1,1,1,3468,30
128282,Nebraska,Wahoo,2006,4085,1,0,1,0,0,72,15,51,6,0,1,3469,30
128283,Nebraska,Waterloo,2006,509,0,0,0,0,0,0,0,0,0,0,1,1660,30
128284,Nebraska,West Point,2006,3495,0,0,0,0,0,22,6,11,5,0,1,1587,30
128285,Nebraska,Wymore,2006,1624,6,0,0,0,6,36,2,32,2,0,1,3471,30
128286,Nebraska,York,2006,7931,1,0,1,0,0,199,27,169,3,0,1,257,30
128287,North Carolina,Aberdeen,2006,4890,25,1,1,12,11,293,54,216,23,6,1,1670,28
128288,North Carolina,Ahoskie,2006,4410,37,1,0,7,29,228,54,166,8,3,1,3266,28
128289,North Carolina,Albemarle,2006,15631,118,3,6,31,78,1040,209,786,45,9,1,3267,28
128290,North Carolina,Andrews,2006,1737,5,1,0,0,4,47,7,34,6,0,1,5448,28
128291,North Carolina,Angier,2006,4189,25,0,3,5,17,182,46,128,8,3,1,3268,28
128292,North Carolina,Archdale,2006,9616,23,0,0,9,14,404,103,249,52,4,1,3269,28
128293,North Carolina,Asheboro,2006,24111,50,1,8,18,23,1599,418,1070,111,3,1,3270,28
128294,North Carolina,Asheville,2006,73672,473,4,49,206,214,4099,793,2834,472,25,1,3271,28
128295,North Carolina,Atlantic Beach,2006,1839,14,0,1,0,13,189,57,132,0,0,1,1149,28
128296,North Carolina,Aulander,2006,911,1,0,0,1,0,30,17,11,2,0,1,6885,28
128297,North Carolina,Ayden,2006,4894,11,1,1,3,6,266,71,191,4,1,1,6886,28
128298,North Carolina,Badin,2006,1275,2,0,0,1,1,3,0,3,0,0,1,6887,28
128299,North Carolina,Bailey,2006,688,2,0,0,0,2,44,11,22,11,0,1,3272,28
128300,North Carolina,Banner Elk,2006,977,0,0,0,0,0,39,8,27,4,0,1,3273,28
128301,North Carolina,Beaufort,2006,4201,30,0,1,1,28,158,38,112,8,1,1,3274,28
128302,North Carolina,Beech Mountain,2006,312,0,0,0,0,0,24,8,15,1,0,1,6888,28
128303,North Carolina,Belhaven,2006,2004,14,0,2,1,11,68,18,50,0,1,1,3275,28
128304,North Carolina,Belmont,2006,8954,41,0,0,15,26,434,111,299,24,1,1,508,28
128305,North Carolina,Benson,2006,3347,85,0,1,12,72,306,81,209,16,0,1,418,28
128306,North Carolina,Bethel,2006,1723,13,0,1,3,9,55,7,45,3,1,1,2,28
128307,North Carolina,Beulaville,2006,1120,5,0,0,4,1,61,15,45,1,1,1,3276,28
128308,North Carolina,Biltmore Forest,2006,1527,1,0,0,0,1,24,3,20,1,0,1,3277,28
128309,North Carolina,Biscoe,2006,1749,2,0,0,1,1,204,22,174,8,0,1,3278,28
128310,North Carolina,Black Mountain,2006,7803,14,0,1,6,7,166,60,96,10,1,1,3279,28
128311,North Carolina,Bladenboro,2006,1747,29,0,1,4,24,135,35,91,9,0,1,6889,28
128312,North Carolina,Blowing Rock,2006,1452,2,0,0,0,2,71,13,56,2,0,1,6890,28
128313,North Carolina,Boiling Spring Lakes,2006,4189,2,0,1,0,1,75,21,47,7,0,1,3280,28
128314,North Carolina,Boone,2006,13455,28,0,5,4,19,405,58,330,17,0,1,1599,28
128315,North Carolina,Brevard,2006,6776,33,0,3,3,27,242,58,177,7,2,1,3282,28
128316,North Carolina,Bryson City,2006,1388,26,1,1,1,23,126,1,116,9,0,1,3283,28
128317,North Carolina,Burgaw,2006,3831,14,0,0,4,10,106,18,80,8,0,1,6891,28
128318,North Carolina,Burlington,2006,48542,445,4,17,110,314,3118,692,2251,175,16,1,936,28
128319,North Carolina,Burnsville,2006,1660,2,0,1,1,0,61,14,44,3,0,1,6857,28
128320,North Carolina,Butner,2006,6373,18,0,0,9,9,310,67,232,11,2,1,3284,28
128321,North Carolina,Cameron,2006,160,1,0,0,1,0,17,4,10,3,0,1,2926,28
128322,North Carolina,Canton,2006,4082,13,0,0,0,13,238,75,150,13,1,1,1047,28
128323,North Carolina,Cape Carteret,2006,1428,0,0,0,0,0,33,1,32,0,0,1,3285,28
128324,North Carolina,Carolina Beach,2006,5496,13,0,2,4,7,428,103,314,11,9,1,3286,28
128325,North Carolina,Carrboro,2006,16753,74,0,5,28,41,931,209,692,30,1,1,6892,28
128326,North Carolina,Carthage,2006,1974,15,0,0,5,10,79,18,59,2,5,1,2931,28
128327,North Carolina,Cary,2006,108563,131,0,14,42,75,2189,554,1520,115,11,1,3287,28
128328,North Carolina,Caswell Beach,2006,475,1,0,0,0,1,5,2,2,1,0,1,6893,28
128329,North Carolina,Catawba,2006,754,1,0,0,0,1,17,5,11,1,0,1,6894,28
128330,North Carolina,Chadbourn,2006,2147,28,0,3,7,18,189,51,125,13,1,1,3288,28
128331,North Carolina,Chapel Hill,2006,50532,252,2,24,81,145,2211,528,1609,74,12,1,5621,28
128332,North Carolina,Charlotte-Mecklenburg,2006,699398,7532,83,346,3207,3896,48886,13582,28154,7150,346,1,3289,28
128333,North Carolina,Cherryville,2006,5564,17,0,1,5,11,232,95,129,8,1,1,3290,28
128334,North Carolina,China Grove,2006,3788,14,0,0,5,9,134,22,102,10,1,1,3291,28
128335,North Carolina,Chocowinity,2006,746,5,0,1,0,4,20,5,13,2,0,1,3292,28
128336,North Carolina,Claremont,2006,1126,0,0,0,0,0,88,15,64,9,0,1,551,28
128337,North Carolina,Clayton,2006,13201,40,1,5,16,18,453,106,330,17,2,1,71,28
128338,North Carolina,Cleveland,2006,839,3,0,1,0,2,59,17,42,0,0,1,1456,28
128339,North Carolina,Clinton,2006,8943,73,1,4,21,47,536,139,361,36,4,1,291,28
128340,North Carolina,Clyde,2006,1384,2,0,0,0,2,25,12,13,0,0,1,4384,28
128341,North Carolina,Concord,2006,62311,280,3,14,98,165,2924,459,2149,316,12,1,562,28
128342,North Carolina,Creedmoor,2006,3218,17,0,3,2,12,104,13,85,6,3,1,3295,28
128343,North Carolina,Dobson,2006,1538,1,0,0,0,1,40,7,32,1,0,1,3296,28
128344,North Carolina,Drexel,2006,1932,2,1,0,0,1,32,8,22,2,0,1,2961,28
128345,North Carolina,Dunn,2006,10086,113,0,8,29,76,732,261,403,68,5,1,3297,28
128346,North Carolina,Durham,2006,208932,1957,13,98,977,869,11866,3098,7617,1151,48,1,6895,28
128347,North Carolina,Edenton,2006,5101,19,0,1,4,14,227,46,167,14,0,1,3299,28
128348,North Carolina,Elizabethtown,2006,3921,23,1,0,8,14,285,53,221,11,0,1,1947,28
128349,North Carolina,Elkin,2006,4401,22,0,2,3,17,225,32,183,10,0,1,3300,28
128350,North Carolina,Elon,2006,7242,11,0,2,3,6,115,32,82,1,0,1,3301,28
128351,North Carolina,Emerald Isle,2006,3760,1,0,0,1,0,220,107,108,5,0,1,3302,28
128352,North Carolina,Enfield,2006,2348,14,0,1,3,10,142,61,77,4,0,1,1059,28
128353,North Carolina,Erwin,2006,4888,7,0,0,1,6,211,73,120,18,0,1,3303,28
128354,North Carolina,Fairmont,2006,2670,56,0,1,7,48,289,120,149,20,1,1,2777,28
128355,North Carolina,Farmville,2006,4637,47,0,1,15,31,266,71,189,6,1,1,3304,28
128356,North Carolina,Fayetteville,2006,132521,1299,15,61,510,713,13091,3519,8549,1023,49,1,312,28
128357,North Carolina,Fletcher,2006,4612,12,0,0,6,6,194,37,134,23,0,1,6896,28
128358,North Carolina,Four Oaks,2006,1800,6,0,0,1,5,47,15,24,8,0,1,3305,28
128359,North Carolina,Franklin,2006,3683,10,0,1,0,9,188,70,107,11,1,1,1487,28
128360,North Carolina,Franklinton,2006,1937,4,0,1,1,2,131,31,96,4,0,1,2060,28
128361,North Carolina,Fuquay-Varina,2006,12443,71,0,3,14,54,492,106,360,26,2,1,6897,28
128362,North Carolina,Garner,2006,22810,73,0,9,26,38,1169,220,906,43,2,1,1625,28
128363,North Carolina,Garysburg,2006,1226,9,0,0,0,9,56,34,21,1,0,1,3307,28
128364,North Carolina,Gastonia,2006,70340,710,4,30,220,456,5816,1271,4056,489,62,1,3308,28
128365,North Carolina,Goldsboro,2006,39442,328,4,3,95,226,2435,633,1650,152,3,1,3310,28
128366,North Carolina,Graham,2006,14230,106,0,3,16,87,772,166,538,68,7,1,3311,28
128367,North Carolina,Granite Falls,2006,4664,11,0,0,2,9,232,95,132,5,0,1,2786,28
128368,North Carolina,Granite Quarry,2006,2277,3,0,0,2,1,78,25,50,3,1,1,6898,28
128369,North Carolina,Greensboro,2006,236591,2062,27,86,901,1048,14336,4129,9000,1207,109,1,121,28
128370,North Carolina,Greenville,2006,70904,640,6,22,240,372,4537,1323,2932,282,16,1,122,28
128371,North Carolina,Grifton,2006,2107,3,0,0,3,0,82,18,62,2,2,1,6899,28
128372,North Carolina,Hamlet,2006,5940,44,2,1,12,29,385,107,245,33,3,1,3312,28
128373,North Carolina,Havelock,2006,22097,65,0,8,16,41,568,125,415,28,5,1,6900,28
128374,North Carolina,Henderson,2006,16537,182,5,4,79,94,1491,366,1049,76,7,1,3313,28
128375,North Carolina,Hendersonville,2006,11623,104,2,6,21,75,993,154,765,74,1,1,3314,28
128376,North Carolina,Hertford,2006,2146,8,0,1,3,4,123,48,68,7,1,1,3315,28
128377,North Carolina,Hickory,2006,41035,320,1,26,115,178,3063,736,2082,245,10,1,3316,28
128378,North Carolina,Highlands,2006,960,0,0,0,0,0,69,26,40,3,0,1,3317,28
128379,North Carolina,High Point,2006,96983,699,8,41,269,381,5652,1697,3449,506,28,1,3318,28
128380,North Carolina,Hillsborough,2006,5489,48,0,1,11,36,300,69,208,23,1,1,645,28
128381,North Carolina,Holden Beach,2006,864,2,0,0,0,2,87,57,28,2,0,1,3319,28
128382,North Carolina,Holly Ridge,2006,776,1,0,0,0,1,58,15,40,3,0,1,6901,28
128383,North Carolina,Holly Springs,2006,15532,22,1,0,3,18,215,66,142,7,0,1,1504,28
128384,North Carolina,Hope Mills,2006,13037,63,0,4,28,31,866,178,646,42,1,1,3320,28
128385,North Carolina,Hudson,2006,3122,5,0,0,0,5,120,26,91,3,1,1,2179,28
128386,North Carolina,Huntersville,2006,37103,101,0,11,30,60,1180,268,858,54,15,1,3321,28
128387,North Carolina,Jacksonville,2006,73696,208,2,26,48,132,2002,408,1476,118,7,1,340,28
128388,North Carolina,Jefferson,2006,1393,0,0,0,0,0,13,4,9,0,0,1,1508,28
128389,North Carolina,Jonesville,2006,2321,10,0,0,3,7,170,54,108,8,0,1,2586,28
128390,North Carolina,Kannapolis,2006,39820,155,4,12,54,85,1037,292,636,109,13,1,3323,28
128391,North Carolina,Kenansville,2006,899,0,0,0,0,0,49,6,42,1,1,1,3324,28
128392,North Carolina,Kenly,2006,1867,19,0,0,7,12,176,68,98,10,0,1,3325,28
128393,North Carolina,Kernersville,2006,21787,127,0,5,25,97,1050,202,801,47,6,1,3326,28
128394,North Carolina,Kill Devil Hills,2006,6681,40,0,7,8,25,432,105,305,22,1,1,3327,28
128395,North Carolina,King,2006,6480,23,1,4,4,14,261,35,219,7,3,1,3328,28
128396,North Carolina,Kings Mountain,2006,11079,38,2,1,20,15,520,114,387,19,2,1,3329,28
128397,North Carolina,Kinston,2006,23307,237,5,9,44,179,1887,396,1397,94,14,1,3330,28
128398,North Carolina,Kitty Hawk,2006,3425,6,0,2,0,4,135,33,96,6,0,1,3331,28
128399,North Carolina,Knightdale,2006,6445,27,0,1,8,18,292,62,219,11,2,1,6902,28
128400,North Carolina,La Grange,2006,2860,30,0,1,1,28,120,34,83,3,0,1,1978,28
128401,North Carolina,Landis,2006,3125,7,2,1,2,2,158,24,115,19,1,1,3333,28
128402,North Carolina,Laurel Park,2006,2125,0,0,0,0,0,23,1,19,3,0,1,3334,28
128403,North Carolina,Laurinburg,2006,16125,121,0,10,32,79,835,284,496,55,15,1,3335,28
128404,North Carolina,Leland,2006,4529,19,0,4,3,12,365,166,188,11,0,1,3215,28
128405,North Carolina,Lenoir,2006,18269,58,2,0,26,30,808,226,529,53,1,1,3336,28
128406,North Carolina,Lexington,2006,20805,181,1,10,37,133,1151,319,771,61,7,1,154,28
128407,North Carolina,Liberty,2006,2766,2,0,1,1,0,58,11,43,4,0,1,3050,28
128408,North Carolina,Lillington,2006,3225,15,1,0,4,10,99,41,49,9,0,1,3337,28
128409,North Carolina,Lincolnton,2006,10600,64,3,1,18,42,766,162,563,41,2,1,1516,28
128410,North Carolina,Longview,2006,4937,24,0,9,4,11,399,166,185,48,5,1,5981,28
128411,North Carolina,Louisburg,2006,3423,8,0,3,2,3,199,54,137,8,0,1,1880,28
128412,North Carolina,Lumberton,2006,22022,267,5,12,120,130,2444,638,1597,209,9,1,3340,28
128413,North Carolina,Madison,2006,2284,36,0,0,0,36,160,43,117,0,0,1,1068,28
128414,North Carolina,Maiden,2006,3329,12,0,0,2,10,145,26,114,5,0,1,3342,28
128415,North Carolina,Manteo,2006,1327,1,0,0,0,1,73,22,49,2,0,1,3343,28
128416,North Carolina,Marion,2006,5113,30,0,1,5,24,459,154,289,16,3,1,163,28
128417,North Carolina,Mars Hill,2006,1871,3,0,0,0,3,34,16,17,1,0,1,3344,28
128418,North Carolina,Marshville,2006,2876,17,0,0,5,12,105,24,75,6,1,1,6903,28
128419,North Carolina,Matthews,2006,25811,60,1,6,21,32,1164,192,897,75,15,1,3067,28
128420,North Carolina,Mayodan,2006,2547,3,0,0,0,3,100,23,77,0,0,1,3345,28
128421,North Carolina,Maysville,2006,1010,3,0,0,0,3,11,3,7,1,0,1,1522,28
